X,Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,vox_size,px_obs,skel_length_mm,vein_density_mm2,end_points,branch_points,areole_num,areole_pix,ariole_mmsq,MAG,Res,pix_mm,conversion,Scope,new_vox_size,skel_length_pix,skel_length_new_mm,areole_area_new_mmsq,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,IRGA_ID,IRGA_date,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,VpdL,C02R,PARi,Microcope,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA
47,640,640B,B,3,PI 470241,juncea,hybrid,4.27E-05,0.000111584,2.615384615,0.0029784,5010994,184.6609597,4.154178552,151,325,90,40809.05556,0.362011686,NA,NA,NA,NA,NA,0.0029784,62000.05362,184.6609597,0.362011686,44.45185911,2.024662226,4/24/14,1595.3,3128.9,0.87,222.5,NA,NA,NA,NA,309.2521973,660.689209,522.979248,351.4370117,NA,NA,NA,NA,Aven Nelson,2,248.089,142.313,201747.96,104.75,64.023,84554.215,36.525,9.406,31337.775,30.773,7.436,19923.699,33.634,39.228,6.764051518,0.151164045
48,643,643B,B,3,PI 173857,juncea,hybrid,0.00010502,0.000144402,1.375,0.001399,7320871,124.0814969,8.659819515,284,489,117,45707.86325,0.089459476,10,4288,728,0.00137363,NA,0.00137363,88692.99275,121.8313556,0.08624431,13.81345409,8.470003173,4/15/14,NA,1136.5,0.15,111.4,IRGA_5,14-Apr-14,23.8342,0.29259716,471.2106934,964.8649902,667.4509277,493.6542969,0.511630437,1.534511,400.7824,1501.605,AV,4,188.125,135.215,167498.732,89.359,51.748,69682.789,66.432,6.761,27919.307,46.443,8.818,18362.215,25.87,45.893,9.022943416,0.232226212
49,657,657B,B,3,CGN06620,nigra,parent,5.91E-05,8.86E-05,1.5,0.001399,9028611,121.2397139,6.861017579,181,379,102,70473.08824,0.137929999,10,4288,728,0.00137363,NA,0.00137363,86661.69684,119.0411066,0.132972807,17.03571933,5.987419612,4/13/14,678.7,925.8,0.21,66.8,IRGA_4,12-Apr-14,21.69361,0.3271695,317.9697266,735.2866211,555.2060547,417.3168945,0.567556763,1.632219,398.7815,1500.252,Aven Nelson,2,119.953,91.779,106320.901,57.625,27.068,42415.137,42.393,12.934,21413.641,29.418,11.991,17198.878,21.491,28.43,6.132655198,0.321721557
50,663,663B,B,3,CGN07143 ,rapa,parent,8.20E-05,0.000147684,1.8,0.001399,7536712,99.20948125,6.725674265,177,297,68,60482.58824,0.118376582,10,4288,728,0.00137363,NA,0.00137363,70914.56844,97.41037865,0.114122139,14.22071571,4.781756516,4/12/14,1806.5,1488.6,0.2,103.6,IRGA_5,12-Apr-14,23.33216,0.28566703,471.6965332,949.7470703,703.640625,478.0505371,0.503345103,1.584732,400.7299,1501.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.955,41.711,6.221020049,0.433928571
51,684,684B,B,3,CGN14031,oleracea,parent,0.000114866,0.000160812,1.4,0.0029784,5022660,229.2483578,5.145249113,215,535,162,25195.2037,0.22350329,NA,NA,NA,NA,NA,0.0029784,76970.30546,229.2483578,0.22350329,44.55534664,3.635927273,4/20/14,3104,1152.5,0.18,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microscopy Core,3,109.914,77.561,95601.006,112.67,83.803,26359.873,46.985,9.054,NA,45.368,7.207,17381.706,65.861,48.802,6.013446622,0.834740177
52,691,691B,B,3,CGN03969,carinata,hybrid,0.000108302,0.000196912,1.818181818,0.001399,10913710,218.673804,10.23738229,366,944,306,29880.9085,0.058482944,10,4288,728,0.00137363,NA,0.00137363,156307.2223,214.7082897,0.056381072,20.59263605,14.85968087,4/17/14,1631.3,953.6,0.2,114.8,IRGA_3,17-Apr-14,27.734525,0.38022304,441.7900391,920.9967041,601.3168945,479.206665,0.520313116,1.385928,399.7774,1501.597,Aven Nelson,3,198.71,188.139,189821.425,114.075,78.777,95384.29,37.643,12.987,25154.049,28.243,11.758,18597.837,35.1,51.449,8.684071283,0.305749129
53,696,696B,B,3,CGN06627,nigra,parent,0.000121429,0.000144402,1.189189189,0.001399,11294596,194.3076051,8.789894627,359,729,204,41959.05392,0.082122302,10,4288,728,0.00137363,NA,0.00137363,138890.3539,190.7839568,0.079170834,21.31131437,9.572380025,4/21/14,1879.5,1151.5,0.47,70.9,IRGA_4,20-Apr-14,30.324957,0.38744102,330.3535156,732.5839844,508.9858398,402.2304688,0.549057142,1.438253,401.0636,1499.673,AV,4,187.537,143.445,162801.06,104.938,39.683,68635.319,42.328,6.47,17855.199,31.305,5.071,19941.584,46.708,70.056,10.25060978,0.658787024
54,708,708B,B,3,CGN03952,carinata,hybrid,8.53E-05,0.000137839,1.615384615,0.001399,5051607,102.1651117,10.33326647,219,488,145,28701.88889,0.056175366,10,4288,728,0.00137363,NA,0.00137363,73027.24211,100.3124106,0.054156428,9.531672036,15.21244116,4/16/14,1766.3,909.2,0.09,85.4,Berry,15-Apr-14,15.233092,0.1287003,561.03125,985.62323,745.2366943,424.59198,0.430785281,1.415346,399.6454,1498.863,Aven Nelson,3,143.871,109.404,132636.731,85.556,68.107,81828.616,42.328,13.109,25518.758,20.301,6.716,16008.324,43.139,47.702,7.26275763,0.505140515
55,710,710B,B,3,CGN03976,carinata,hybrid,0.000137839,0.000170657,1.238095238,0.001399,4586941,148.5660113,NA,315,1012,375,10365.53867,0.020287443,10,3216,348,0.0028736,NA,0.0028736,106194.4326,305.1603216,0.085594233,37.87701832,9.900462514,4/21/14,3448.4,1447.8,0.44,128.8,IRGA_4,20-Apr-14,25.688008,0.37258133,387.7373047,792.1630859,566.0117188,404.4257813,0.510533485,1.686559,399.8978,1500.367,Aven Nelson,3,122.578,98.769,115190.566,81.129,43.21,66639.916,30.864,9.7,19845.936,27.394,7.272,19355.25,66.591,58.727,7.196644461,0.51701087
56,719,719B,B,3,CGN06897,napus,hybrid,3.94E-05,0.000101738,2.583333333,0.0029784,5026540,202.6987869,4.545858991,193,372,102,35193.52941,0.312197103,NA,NA,NA,NA,NA,0.0029784,68056.26741,202.6987869,0.312197103,44.5897656,2.287520435,4/21/14,5710.8,3581.1,0.49,199.1,IRGA_4,20-Apr-14,25.545467,0.33169962,338.2729492,642.3769531,469.6552734,304.1040039,0.473404288,1.604923,399.717,1501.105,Aven Nelson,2,198.43,158.769,177592.39,117.631,88.215,103627.185,54.137,12.934,29665.09,30.593,9.406,20505.59,105.39,55.38,5.394525485,0.529331994
57,722,722B,B,3,CGN14070,oleracea,parent,8.20E-05,0.000150966,1.84,0.001399,10839257,143.6861011,6.772980385,197,412,114,78398.05263,0.153440747,10,4288,728,0.00137363,NA,0.00137363,102706.291,141.0804425,0.147926101,20.45215371,5.573985098,4/21/14,1543.8,1205.3,0.19,96.2,IRGA_4,20-Apr-14,27.104242,0.49526562,359.5996094,703.6999512,517.3537598,344.1003418,0.488987304,1.503407,399.9978,1500.932,AV,5,195.179,151.675,167766.238,91.711,56.437,62023.895,65.844,13.521,25719.387,39.683,5.291,20393.388,32.803,36.719,6.411122323,0.340987526
58,731,731B,B,3,Ames 2795 ,rapa,parent,0.000134557,0.000216604,1.609756098,0.001399,5472721,151.2591277,14.12156706,265,978,363,13167.25895,0.02577097,10,3216,348,0.0028736,NA,0.0028736,108119.4667,310.6920996,0.108729654,45.19141484,8.032499122,4/16/14,959.4,266.6,0.12,36.8,IRGA_4,15-Apr-14,21.942204,0.39672757,348.6047363,711.7407227,526.2316895,363.1359863,0.510208247,1.290217,400.7418,1500.225,Aven Nelson,3,113.811,96.447,109083.826,79.487,52.095,68048.985,23.826,7.11,19452.454,15.873,5.364,15352.003,24.791,39.829,7.999307282,0.673668478
59,732,732B,B,3,CGN14113,napus,hybrid,6.56E-05,0.000131275,2,0.001399,5543872,114.6158335,10.56321194,260,499,136,30919.23529,0.060515158,10,3216,348,0.0028736,NA,0.0028736,81926.97178,235.4253461,0.255317965,45.7789497,2.970797733,4/21/14,1260.5,652.6,0.09,44,IRGA_4,20-Apr-14,20.032299,0.28133984,314.3520508,588.5603027,456.6003418,274.208252,0.469763272,1.528817,399.2757,1500.256,Aven Nelson,3,156.803,101.962,131310.869,97.577,68.267,83678.602,35.108,10.582,22351.465,21.164,10.655,15822.47,29.878,37.871,6.928369027,0.679045455
60,749,749B,B,3,CGN07230,napus,hybrid,8.53E-05,0.000173939,2.038461538,0.001399,6194001,104.014967,8.580036506,146,386,123,39267.12195,0.07685365,10,3216,348,0.0028736,NA,0.0028736,74349.51182,213.6507572,0.324251281,51.14743995,2.404812443,4/21/14,2010.6,1287.9,0.21,74.5,IRGA_4,20-Apr-14,14.717031,0.08834469,293.9672852,515.4196777,410.0209961,221.4523926,0.429654517,1.521396,399.0886,1500.459,AV,4,171.664,141.093,151026.63,90.543,64.668,73410.754,34.098,5.879,19598.649,32.922,8.23,18523.962,47.473,53.753,7.801522564,0.637221477
61,774,774B,B,4,PI 459016 ,rapa,parent,0.00015753,0.000177221,1.125,0.001399,4814567,136.4374511,14.47907887,375,863,249,16192.32932,0.031691643,10,3216,348,0.0028736,NA,0.0028736,97524.98292,280.2477909,0.133709406,39.75665753,6.263101967,4/23/14,639.5,632.5,0.05,33.8,Berry,22-Apr-14,25.975818,0.44611572,545.388916,1092.840698,771.1376953,547.4517822,0.537359489,1.55781,398.963,1500.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.17,38.543,9.042073883,0.537573964
62,781,781B,B,4,PI 257240,juncea,hybrid,6.89E-05,0.000144402,2.095238095,0.001399,6791864,116.0323452,8.72880236,197,460,134,38308.68657,0.0749778,10,3216,348,0.0028736,NA,0.0028736,82939.48908,238.3349158,0.316336928,56.08433968,2.389258762,4/21/14,4069.7,3744.6,0.23,205,IRGA_4,20-Apr-14,19.023507,0.14003395,308.532959,591.2402344,458.5568848,282.7072754,0.478159738,1.355151,399.351,1499.002,AV,4,164.609,101.124,137597.243,76.426,45.855,49451.148,41.152,9.406,26935.603,14.109,8.818,15237.691,74.018,46.829,5.443098716,0.361063415
63,782,782B,B,4,PI 459020 ,rapa,parent,3.94E-05,0.000144402,NA,0.001399,5076613,76.19994123,7.669113229,105,253,77,52179.62338,0.102126011,10,3216,348,0.0028736,NA,0.0028736,54467.43476,156.5176205,0.430877256,41.92052254,1.836809165,4/25/14,908.7,568.6,0.2,31.9,IRGA_4,22-Apr-14,24.362927,0.58915258,325.9946289,719.328125,539.7817383,393.3334961,0.54680678,1.654562,400.9341,1500.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.317,39.363,7.673084837,0.824984326
64,822,822B,B,4,CGN17374,napus,hybrid,0.000111584,0.000154248,1.382352941,0.0029784,4808797,353.0838771,8.277046526,418,1182,406,9880.866005,0.087651844,NA,NA,NA,NA,NA,0.0029784,118548.1726,353.0838771,0.087651844,42.6581965,9.517514412,4/13/14,1164.9,570.1,0.18,55.6,IRGA_4,12-Apr-14,23.287207,0.34210485,292.5505371,567.9829102,416.833252,275.432373,0.48493074,1.46001,401.1389,1498.948,AV,3,117.578,98.765,103299.024,71.723,43.504,53554.709,43.504,8.23,19722.292,24.691,9.41,18256.457,28.732,48.494,9.047010185,0.51676259
65,835,835B,B,4,CGN07145,rapa,parent,9.19E-05,0.000167376,1.821428571,0.0029784,5031722,227.3177156,5.092729368,240,455,131,27256.03053,0.24178461,NA,NA,NA,NA,NA,0.0029784,76322.09092,227.3177156,0.24178461,44.63573443,2.934868255,4/20/14,5379.4,3274.2,0.54,195.1,IRGA_5,20-Apr-14,24.840447,0.26389232,479.3933105,932.9456787,679.8183594,453.5523682,0.486150886,1.428352,399.7635,1499.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.051,68.084,6.806664522,0.512819067
66,846,846B,B,4,PI 633094,juncea,hybrid,0.000154248,0.000236295,1.531914894,0.0029784,2492680,198.7348426,8.987552485,204,678,259,8028.833977,0.071222715,NA,NA,NA,NA,NA,0.0029784,66725.37019,198.7348426,0.071222715,22.11223166,11.71297425,4/17/14,2895.9,2952.3,0.27,230.6,IRGA_3,16-Apr-14,32.286896,0.75409716,368.3635254,828.104248,536.7348633,459.7407227,0.555172521,1.525315,400.4232,1499.448,Aven Nelson,3,143.782,117.337,128460.072,95.385,70.547,79892.314,38.174,7.272,22239.486,37.413,8.685,18942.328,62.762,60.201,7.598980291,0.272168257
