Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,px_obs,end_points,branch_points,areole_num,areole_pix,skel_length_new_mm,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA,Lf3_dryMg_pred,LMA
596,596B,B,3,PI 633094,juncea,hybrid,6.56E-05,0.000154248,2.35,4557909,170,437,147,25539.17007,198.2472972,40.4326051,3.635679661,4/15/14,1395.9,1030.7,0.19,99.3,30.003016,0.5440996,575.0512695,1240.535522,819.5001221,665.4842529,0.536449171,2,173.022,143.45,159013.994,87.008,55.274,73152.581,39.994,11.758,28102.828,30.593,7.152,22104.178,31.087,42.905,7.695174981,0.31306143,109.0919559,3.509246821
601,601B,B,3,CGN07129,oleracea,parent,9.19E-05,0.000154248,1.678571429,5003258,209,704,255,16504.80392,266.3612098,44.38323408,5.745412773,4/21/14,4176.3,2112.7,0.29,149.8,21.235084,0.36339018,341.626709,641.3725586,483.7016602,299.7458496,0.467350599,3,150.817,122.332,141209.342,122.422,88.254,108073.682,39.976,7.436,27656.467,30.229,9.406,19373.913,79.873,55.077,6.162689377,0.533197597,274.9749718,3.442652358
603,603B,B,3,PI 459018 ,rapa,parent,0.000124711,0.000137839,1.105263158,5027838,307,915,327,12577.48624,312.4114115,44.60127998,7.331628153,4/17/17,978.8,960.7,0.11,91.7,33.138217,0.56323572,560.7741699,1201.844971,793.062561,641.0708008,0.533405569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.706,37.048,7.453556527,0.269422028,84.20711707,3.40836708
606,606B,B,3,CGN06813,rapa,parent,8.53E-05,0.000216604,2.538461538,5022660,239,685,238,17262.65546,273.7733121,44.55534664,5.341670932,4/11/14,2058.6,1656.9,0.27,124.3,20.613923,0.30799522,462.1940918,900.7996826,668.7490845,438.6055908,0.486906911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.099,43.361,6.318201121,0.378913918,148.6296752,3.15568643
613,613B,B,3,CGN06619,nigra,parent,4.27E-05,9.85E-05,2.307692308,3990808.715,120.6341463,235.0081301,62.18699187,48357.90244,140.9513477,35.40193259,1.756567545,4/12/14,801.9,863.5,0.3,72.6,13.197132,0.09805166,499.7307129,944.5299683,724.553772,444.7992554,0.470921273,3,129.03,92.425,107296.486,94.595,43.281,68713.578,35.135,3.604,16054.703,44.153,9.054,16178.07,22.655,38.909,8.174628704,0.312052342,73.65298618,3.251069794
626,626B,B,3,CGN06711 ,rapa,parent,0.000137839,0.000154248,1.119047619,5027838,240,597,188,18980.05319,263.6232789,44.60127998,4.215125666,4/11/14,1327.2,1114,0.23,129.7,11.535165,0.07183651,528.050293,913.9944458,699.6629028,385.9441528,0.422260939,3,138.448,92.593,117022.666,93.491,71.434,83529.296,36.155,10.655,26080.208,30.034,9.498,18282.119,33.121,42.159,7.325522062,0.25536623,104.9932064,3.169989022
640,640B,B,3,PI 470241,juncea,hybrid,4.27E-05,0.000111584,2.615384615,5010994,151,325,90,40809.05556,184.6609597,44.45185911,2.024662226,4/24/14,1595.3,3128.9,0.87,222.5,NA,NA,309.2521973,660.689209,522.979248,351.4370117,NA,2,248.089,142.313,201747.96,104.75,64.023,84554.215,36.525,9.406,31337.775,30.773,7.436,19923.699,33.634,39.228,6.764051518,0.151164045,120.988472,3.59720735
643,643B,B,3,PI 173857,juncea,hybrid,0.00010502,0.000144402,1.375,7320871,284,489,117,45707.86325,121.8313556,13.81345409,8.470003173,4/15/14,NA,1136.5,0.15,111.4,23.8342,0.29259716,471.2106934,964.8649902,667.4509277,493.6542969,0.511630437,4,188.125,135.215,167498.732,89.359,51.748,69682.789,66.432,6.761,27919.307,46.443,8.818,18362.215,25.87,45.893,9.022943416,0.232226212,NA,NA
657,657B,B,3,CGN06620,nigra,parent,5.91E-05,8.86E-05,1.5,9028611,181,379,102,70473.08824,119.0411066,17.03571933,5.987419612,4/13/14,678.7,925.8,0.21,66.8,21.69361,0.3271695,317.9697266,735.2866211,555.2060547,417.3168945,0.567556763,2,119.953,91.779,106320.901,57.625,27.068,42415.137,42.393,12.934,21413.641,29.418,11.991,17198.878,21.491,28.43,6.132655198,0.321721557,66.30268135,3.085137097
663,663B,B,3,CGN07143 ,rapa,parent,8.20E-05,0.000147684,1.8,7536712,177,297,68,60482.58824,97.41037865,14.22071571,4.781756516,4/12/14,1806.5,1488.6,0.2,103.6,23.33216,0.28566703,471.6965332,949.7470703,703.640625,478.0505371,0.503345103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.955,41.711,6.221020049,0.433928571,133.5889946,2.97161594
684,684B,B,3,CGN14031,oleracea,parent,0.000114866,0.000160812,1.4,5022660,215,535,162,25195.2037,229.2483578,44.55534664,3.635927273,4/20/14,3104,1152.5,0.18,78.9,NA,NA,NA,NA,NA,NA,NA,3,109.914,77.561,95601.006,112.67,83.803,26359.873,46.985,9.054,NA,45.368,7.207,17381.706,65.861,48.802,6.013446622,0.834740177,210.9998754,3.203715028
691,691B,B,3,CGN03969,carinata,hybrid,0.000108302,0.000196912,1.818181818,10913710,366,944,306,29880.9085,214.7082897,20.59263605,14.85968087,4/17/14,1631.3,953.6,0.2,114.8,27.734525,0.38022304,441.7900391,920.9967041,601.3168945,479.206665,0.520313116,3,198.71,188.139,189821.425,114.075,78.777,95384.29,37.643,12.987,25154.049,28.243,11.758,18597.837,35.1,51.449,8.684071283,0.305749129,123.1362884,3.508156364
696,696B,B,3,CGN06627,nigra,parent,0.000121429,0.000144402,1.189189189,11294596,359,729,204,41959.05392,190.7839568,21.31131437,9.572380025,4/21/14,1879.5,1151.5,0.47,70.9,30.324957,0.38744102,330.3535156,732.5839844,508.9858398,402.2304688,0.549057142,4,187.537,143.445,162801.06,104.938,39.683,68635.319,42.328,6.47,17855.199,31.305,5.071,19941.584,46.708,70.056,10.25060978,0.658787024,137.9442888,2.953333237
708,708B,B,3,CGN03952,carinata,hybrid,8.53E-05,0.000137839,1.615384615,5051607,219,488,145,28701.88889,100.3124106,9.531672036,15.21244116,4/16/14,1766.3,909.2,0.09,85.4,15.233092,0.1287003,561.03125,985.62323,745.2366943,424.59198,0.430785281,3,143.871,109.404,132636.731,85.556,68.107,81828.616,42.328,13.109,25518.758,20.301,6.716,16008.324,43.139,47.702,7.26275763,0.505140515,131.1905997,3.041113602
710,710B,B,3,CGN03976,carinata,hybrid,0.000137839,0.000170657,1.238095238,4586941,315,1012,375,10365.53867,305.1603216,37.87701832,9.900462514,4/21/14,3448.4,1447.8,0.44,128.8,25.688008,0.37258133,387.7373047,792.1630859,566.0117188,404.4257813,0.510533485,3,122.578,98.769,115190.566,81.129,43.21,66639.916,30.864,9.7,19845.936,27.394,7.272,19355.25,66.591,58.727,7.196644461,0.51701087,231.5473185,3.47715635
719,719B,B,3,CGN06897,napus,hybrid,3.94E-05,0.000101738,2.583333333,5026540,193,372,102,35193.52941,202.6987869,44.5897656,2.287520435,4/21/14,5710.8,3581.1,0.49,199.1,25.545467,0.33169962,338.2729492,642.3769531,469.6552734,304.1040039,0.473404288,2,198.43,158.769,177592.39,117.631,88.215,103627.185,54.137,12.934,29665.09,30.593,9.406,20505.59,105.39,55.38,5.394525485,0.529331994,366.5256436,3.477802862
