Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,B_end_points,M_end_points,T_end_points,B_branch_points,M_branch_points,T_branch_points,B_areole_num,M_areole_num,T_areole_num,B_skel_length_new_mm,M_skel_length_new_mm,T_skel_length_new_mm,B_areole_area_new_mmsq,M_areole_area_new_mmsq,T_areole_area_new_mmsq,B_vein_dens_mm2,M_vein_dens_mm2,T_vein_dens_mm2,dry_shootsG,Photo,Cond,WUE,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,Palisade_spongy,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,LMA
907,907B,B,4,CGN06620,nigra,parent,9.85E-05,0.000134557,1.366666667,337,272,252,899,804,644,285,271,204,301.4024602,287.1555565,250.4770772,0.128765017,0.1378241,0.184091061,6.404807003,6.090184905,4.563865486,0.26,27.417364,0.49767404,694.600746,NA,NA,NA,NA,NA,3,109.347,82.305,96806.578,61.141,24.691,45988.354,2.105023763,37.625,9.406,16902.6,19.988,5.879,15899.455,34.023,44.271,7.589847143,2.596527747
913,913B,B,4,CGN07143 ,rapa,parent,0.000108302,0.000180503,1.666666667,242,205,196,676,784,525,226,298,180,259.9887079,292.7534622,237.2247448,0.138606034,0.125636357,0.207165684,5.766077932,6.69866008,4.035317189,0.23,NA,0.03947212,NA,519.2944336,824.8590698,712.1269531,305.5646362,0.370444658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.168,32.947,5.998499351,3.364196251
916,916B,B,4,CGN06709 ,rapa,parent,8.20E-05,0.00015753,1.92,214,190,212,500,471,466,155,148,134,230.1930255,224.3722553,225.0495007,0.225106709,0.233572254,0.257808765,3.486031986,3.322572631,3.007495399,0.3,21.947942,0.3433979,144.0462183,487.7287598,953.6000977,698.4916992,465.8713379,0.488539524,2,149.072,111.115,130950.826,113.76,78.503,93829.027,1.395632356,30.877,8.862,21604.938,26.47,7.937,18391.765,28.947,40.777,7.579027635,3.211574078
934,934B,B,4,CGN14031,oleracea,parent,0.000131275,0.000196912,1.5,333,363.6578125,269,1395,965.1390625,802,546,320.378125,272,374.7826282,314.7398674,279.6604847,0.070989288,0.11275843,0.137309306,12.23295702,7.193956246,6.112657912,0.25,16.434089,0.15236736,36.12015264,559.1647949,1007.395447,766.9176025,448.2306519,0.444940121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.324,32.022,5.547149751,3.230706948
946,946B,B,4,CGN06627,nigra,parent,0.000150966,0.000226449,1.5,356,329,328,1115,985,806,400,353,258,354.9461494,327.6729524,295.7872425,0.092138298,0.103155261,0.137005445,8.970668373,7.92068979,5.796526643,0.28,29.582212,0.45498393,97.34732898,349.7102051,800.2700195,514.052002,450.5598145,0.563009739,3,135.215,102.293,118457.397,132.863,84.656,100897.698,1.174034684,38.801,11.758,22885.697,33.51,NA,13579.78,40.771,72.175,11.30345242,3.013315322
948,948B,B,4,PI120923,juncea,hybrid,0.000118147,0.000144402,1.222222222,321,321,186,985,845,633,350,286,234,325.4322325,303.7371498,260.8754934,0.10496937,0.128378933,0.155628891,7.880086751,6.412372024,5.257314862,0.35,23.938899,0.30388314,NA,538.6828613,1051.375854,744.4862671,512.6929932,0.487640068,4,190.476,138.742,167799.676,81.129,54.086,72667.339,2.309148488,31.746,12.93,18078.379,24.691,9.41,15762.592,47.002,58.7,8.562092831,3.865540795
958,958B,B,4,CGN03952,carinata,hybrid,9.85E-05,0.00015753,1.6,321,404,276,735,819,561,224,250,151,280.6318329,292.4878853,240.7763906,0.156441692,0.145502011,0.223100943,5.028758576,5.609553676,3.386427311,0.15,NA,NA,NA,NA,NA,NA,NA,NA,4,192.828,122.281,160325.081,108.172,102.293,96642.498,1.658950093,50.558,9.406,25587.19,31.746,8.23,13226.736,60.386,57.559,7.407047143,3.139294559
960,960B,B,4,CGN03976,carinata,hybrid,0.000131275,0.00021004,1.6,449,395,356,1326,836,758,470,248,228,388.2639768,311.8486541,293.7863811,0.080106416,0.139877469,0.156411858,10.54053534,5.580476894,5.131768054,0.13,NA,NA,NA,NA,NA,NA,NA,NA,3,162.296,128.16,150805.315,78.812,67.019,68066.87,2.215546491,49.383,15.465,27350.08,34.179,12.934,26513.349,34.898,41.445,7.015713974,6.991425149
969,969B,B,4,CGN06897,napus,hybrid,5.91E-05,9.19E-05,1.555555556,346,242,168,476,336,300,99,72,86,229.2618462,195.3614671,174.4102824,0.279142622,0.368795212,0.373676407,2.222531551,1.615967574,1.934171474,0.3,21.677026,0.31914047,NA,378.4099121,710.7189941,512.611084,332.309082,0.46756747,2,176.465,111.755,157202.89,147.203,105.925,122537.63,1.282894814,37.643,15.285,30574.919,46.096,10.647,23799.415,76.781,44.051,5.027231559,2.906822433
972,972B,B,4,CGN14070,oleracea,parent,8.86E-05,0.000137839,1.555555556,261,231,248,377,400,300,91,100,55,203.6268118,203.1416522,178.7878499,0.359228299,0.299234041,0.446180347,2.041877408,2.246134546,1.263335748,0.3,NA,NA,NA,NA,NA,NA,NA,NA,5,191.652,165.785,177541.067,142.269,112.875,123669.861,1.435604969,39.976,7.05,22880.254,35.27,8.818,15532.413,56.299,43.979,5.861314294,3.634241384
